date,start,end,number
"2017-08-04","19","20","890"
"2017-08-04","20","21","968"
"2017-08-04","21","22","1302"
"2017-08-04","22","23","1249"
"2017-08-04","23","24","962"
"2017-08-05","0","1","1012"
"2017-08-05","1","2","1137"
"2017-08-05","2","3","1018"
"2017-08-05","3","4","829"
"2017-08-05","4","5","830"
"2017-08-05","5","6","837"
"2017-08-05","6","7","892"
"2017-08-05","7","8","893"
"2017-08-05","8","9","943"
"2017-08-05","9","10","1300"
"2017-08-05","10","11","2427"
"2017-08-05","11","12","2860"
"2017-08-05","12","13","2049"
"2017-08-05","13","14","1953"
"2017-08-05","14","15","2612"
"2017-08-05","15","16","2564"
"2017-08-05","16","17","2746"
"2017-08-05","17","18","2282"
"2017-08-05","18","19","2423"
"2017-08-05","19","20","1773"
"2017-08-05","20","21","2070"
"2017-08-05","21","22","2579"
"2017-08-05","22","23","2111"
"2017-08-05","23","24","1264"
"2017-08-06","0","1","1114"
"2017-08-06","1","2","741"
"2017-08-06","2","3","925"
"2017-08-06","3","4","913"
"2017-08-06","4","5","905"
"2017-08-06","5","6","899"
"2017-08-06","6","7","896"
"2017-08-06","7","8","863"
"2017-08-06","8","9","858"
"2017-08-06","9","10","922"
"2017-08-06","10","11","1198"
"2017-08-06","11","12","1290"
"2017-08-06","12","13","1323"
"2017-08-06","13","14","1280"
"2017-08-06","14","15","1613"
"2017-08-06","15","16","1746"
"2017-08-06","16","17","1705"
"2017-08-06","17","18","1464"
"2017-08-06","18","19","1147"
"2017-08-06","19","20","1520"
"2017-08-06","20","21","1909"
"2017-08-06","21","22","1765"
"2017-08-06","22","23","668"
"2017-08-06","23","24","163"
"2017-08-07","0","1","109"
"2017-08-07","1","2","78"
"2017-08-07","2","3","78"
"2017-08-07","3","4","74"
"2017-08-07","4","5","72"
"2017-08-07","5","6","72"
"2017-08-07","6","7","76"
"2017-08-07","7","8","78"
"2017-08-07","8","9","100"
"2017-08-07","9","10","191"
"2017-08-07","10","11","545"
"2017-08-07","11","12","631"
"2017-08-07","12","13","649"
"2017-08-07","13","14","969"
"2017-08-07","14","15","684"
"2017-08-07","15","16","860"
"2017-08-07","16","17","745"
"2017-08-07","17","18","1006"
"2017-08-07","18","19","774"
"2017-08-07","19","20","1205"
"2017-08-07","20","21","2120"
"2017-08-07","21","22","1706"
"2017-08-07","22","23","605"
"2017-08-07","23","24","198"
"2017-08-08","0","1","67"
"2017-08-08","1","2","53"
"2017-08-08","2","3","50"
"2017-08-08","3","4","56"
"2017-08-08","4","5","49"
"2017-08-08","5","6","50"
"2017-08-08","6","7","52"
"2017-08-08","7","8","48"
"2017-08-08","8","9","146"
"2017-08-08","9","10","418"
"2017-08-08","10","11","948"
"2017-08-08","11","12","1385"
"2017-08-08","12","13","1245"
"2017-08-08","13","14","1351"
"2017-08-08","14","15","1468"
"2017-08-08","15","16","1388"
"2017-08-08","16","17","1414"
"2017-08-08","17","18","1091"
"2017-08-08","18","19","711"
"2017-08-08","19","20","1010"
"2017-08-08","20","21","1349"
"2017-08-08","21","22","978"
"2017-08-08","22","23","581"
"2017-08-08","23","24","293"
"2017-08-09","9","10","323"
"2017-08-09","10","11","1416"
"2017-08-09","11","12","1408"
"2017-08-09","12","13","1324"
"2017-08-09","13","14","1377"
"2017-08-09","14","15","1621"
"2017-08-09","15","16","1177"
"2017-08-09","16","17","949"
"2017-08-09","17","18","1164"
"2017-08-09","18","19","932"
"2017-08-09","19","20","1272"
"2017-08-09","20","21","1796"
"2017-08-09","21","22","1314"
"2017-08-09","22","23","632"
"2017-08-09","23","24","207"
"2017-08-10","0","1","108"
"2017-08-10","1","2","100"
"2017-08-10","2","3","99"
"2017-08-10","3","4","98"
"2017-08-10","4","5","97"
"2017-08-10","5","6","109"
"2017-08-10","6","7","91"
"2017-08-10","7","8","99"
"2017-08-10","8","9","154"
"2017-08-10","9","10","529"
"2017-08-10","10","11","566"
"2017-08-10","11","12","845"
"2017-08-10","12","13","786"
"2017-08-10","13","14","867"
"2017-08-10","14","15","853"
"2017-08-10","15","16","930"
"2017-08-10","16","17","884"
"2017-08-10","17","18","756"
"2017-08-10","18","19","693"
"2017-08-10","19","20","1430"
"2017-08-10","20","21","1581"
"2017-08-10","21","22","1215"
"2017-08-10","22","23","277"
"2017-08-10","23","24","147"
"2017-08-11","0","1","60"
"2017-08-11","1","2","53"
"2017-08-11","2","3","48"
"2017-08-11","3","4","51"
"2017-08-11","4","5","55"
"2017-08-11","5","6","51"
"2017-08-11","6","7","51"
"2017-08-11","7","8","56"
"2017-08-11","8","9","111"
"2017-08-11","9","10","179"
"2017-08-11","10","11","655"
"2017-08-11","11","12","867"
"2017-08-11","12","13","799"
"2017-08-11","13","14","730"
"2017-08-11","14","15","1002"
"2017-08-11","15","16","1004"
"2017-08-11","16","17","1352"
"2017-08-11","17","18","1626"
"2017-08-11","18","19","1530"
"2017-08-11","19","20","2060"
"2017-08-11","20","21","2569"
"2017-08-11","21","22","2234"
"2017-08-11","22","23","726"
"2017-08-11","23","24","151"
"2017-08-12","0","1","89"
"2017-08-12","1","2","120"
"2017-08-12","2","3","61"
"2017-08-12","3","4","62"
"2017-08-12","4","5","51"
"2017-08-12","5","6","54"
"2017-08-12","6","7","70"
"2017-08-12","7","8","66"
"2017-08-12","8","9","173"
"2017-08-12","9","10","421"
"2017-08-12","10","11","710"
"2017-08-12","11","12","917"
"2017-08-12","12","13","1056"
"2017-08-12","13","14","1279"
"2017-08-12","14","15","1541"
"2017-08-12","15","16","1201"
"2017-08-12","16","17","1503"
"2017-08-12","17","18","1653"
"2017-08-12","18","19","1397"
"2017-08-12","19","20","2091"
"2017-08-12","20","21","2640"
"2017-08-12","21","22","2274"
"2017-08-12","22","23","1079"
"2017-08-12","23","24","218"
"2017-08-13","0","1","104"
"2017-08-13","1","2","90"
"2017-08-13","2","3","86"
"2017-08-13","3","4","82"
"2017-08-13","4","5","89"
"2017-08-13","5","6","83"
"2017-08-13","6","7","75"
"2017-08-13","7","8","88"
"2017-08-13","8","9","199"
"2017-08-13","9","10","306"
"2017-08-13","10","11","609"
"2017-08-13","11","12","696"
"2017-08-13","12","13","793"
"2017-08-13","13","14","929"
"2017-08-13","14","15","1308"
"2017-08-13","15","16","1342"
"2017-08-13","16","17","1495"
"2017-08-13","17","18","1213"
"2017-08-13","18","19","1504"
"2017-08-13","19","20","2170"
"2017-08-13","20","21","2909"
"2017-08-13","21","22","2049"
"2017-08-13","22","23","869"
"2017-08-14","9","10","579"
"2017-08-14","10","11","869"
"2017-08-14","11","12","864"
"2017-08-14","12","13","954"
"2017-08-14","13","14","983"
"2017-08-14","14","15","1132"
"2017-08-14","15","16","1025"
"2017-08-14","16","17","950"
"2017-08-14","17","18","998"
"2017-08-14","18","19","1424"
"2017-08-14","19","20","1801"
"2017-08-14","20","21","2261"
"2017-08-14","21","22","1983"
"2017-08-14","22","23","937"
"2017-08-14","23","24","462"
"2017-08-15","0","1","514"
"2017-08-15","1","2","395"
"2017-08-15","2","3","392"
"2017-08-15","3","4","387"
"2017-08-15","4","5","386"
"2017-08-15","5","6","399"
"2017-08-15","6","7","389"
"2017-08-15","7","8","388"
"2017-08-15","8","9","452"
"2017-08-15","9","10","588"
"2017-08-15","10","11","783"
"2017-08-15","11","12","741"
"2017-08-15","12","13","804"
"2017-08-15","13","14","986"
"2017-08-15","14","15","1072"
"2017-08-15","15","16","118"
"2017-08-18","23","24","175"
"2017-08-19","0","1","116"
"2017-08-19","1","2","110"
"2017-08-19","2","3","108"
"2017-08-19","3","4","114"
"2017-08-19","4","5","102"
"2017-08-19","5","6","112"
"2017-08-19","6","7","118"
"2017-08-19","7","8","107"
"2017-08-19","8","9","165"
"2017-08-19","9","10","530"
"2017-08-19","10","11","767"
"2017-08-19","11","12","716"
"2017-08-19","12","13","736"
"2017-08-19","13","14","710"
"2017-08-19","14","15","646"
"2017-08-19","15","16","404"
"2017-08-19","16","17","686"
"2017-08-19","17","18","468"
"2017-08-19","18","19","1149"
"2017-08-19","19","20","1230"
"2017-08-19","20","21","1941"
"2017-08-19","21","22","2010"
"2017-08-19","22","23","842"
"2017-08-20","8","9","135"
"2017-08-20","9","10","360"
"2017-08-20","10","11","671"
"2017-08-20","11","12","981"
"2017-08-20","12","13","872"
"2017-08-20","13","14","838"
"2017-08-20","14","15","997"
"2017-08-20","15","16","1161"
"2017-08-20","16","17","1090"
"2017-08-20","17","18","937"
"2017-08-20","18","19","1263"
"2017-08-20","19","20","1732"
"2017-08-20","20","21","2006"
"2017-08-20","21","22","1937"
"2017-08-20","22","23","598"
"2017-08-20","23","24","140"
"2017-08-21","0","1","137"
"2017-08-21","1","2","111"
"2017-08-21","2","3","113"
"2017-08-21","3","4","114"
"2017-08-21","4","5","112"
"2017-08-21","5","6","116"
"2017-08-21","6","7","106"
"2017-08-21","7","8","105"
"2017-08-21","8","9","152"
"2017-08-21","9","10","484"
"2017-08-21","10","11","681"
"2017-08-21","11","12","683"
"2017-08-21","12","13","793"
"2017-08-21","13","14","824"
"2017-08-21","14","15","718"
"2017-08-21","15","16","754"
"2017-08-21","16","17","730"
"2017-08-21","17","18","706"
"2017-08-21","18","19","761"
"2017-08-21","19","20","815"
"2017-08-21","20","21","1318"
"2017-08-21","21","22","1068"
"2017-08-21","22","23","302"
"2017-08-22","8","9","196"
"2017-08-22","9","10","429"
"2017-08-22","10","11","665"
"2017-08-22","11","12","633"
"2017-08-22","12","13","586"
"2017-08-22","13","14","703"
"2017-08-22","14","15","680"
"2017-08-22","15","16","744"
"2017-08-22","16","17","639"
"2017-08-22","17","18","719"
"2017-08-22","18","19","778"
"2017-08-22","19","20","980"
"2017-08-22","20","21","1622"
"2017-08-22","21","22","1129"
"2017-08-22","22","23","421"
"2017-08-22","23","24","165"
"2017-08-23","0","1","165"
"2017-08-23","1","2","158"
"2017-08-23","2","3","177"
"2017-08-23","3","4","174"
"2017-08-23","4","5","178"
"2017-08-23","5","6","172"
"2017-08-23","6","7","180"
"2017-08-23","7","8","189"
"2017-08-23","8","9","252"
"2017-08-23","9","10","522"
"2017-08-23","10","11","472"
"2017-08-23","11","12","581"
"2017-08-23","12","13","596"
"2017-08-23","13","14","732"
"2017-08-23","14","15","711"
"2017-08-23","15","16","755"
"2017-08-23","16","17","632"
"2017-08-23","17","18","819"
"2017-08-23","18","19","734"
"2017-08-23","19","20","1029"
"2017-08-23","20","21","1229"
"2017-08-23","21","22","1019"
"2017-08-23","22","23","469"
"2017-08-23","23","24","340"
"2017-08-24","0","1","218"
"2017-08-24","1","2","160"
"2017-08-24","2","3","204"
"2017-08-24","3","4","188"
"2017-08-24","4","5","170"
"2017-08-24","5","6","179"
"2017-08-24","6","7","183"
"2017-08-24","7","8","239"
"2017-08-24","8","9","263"
"2017-08-24","9","10","387"
"2017-08-24","10","11","591"
"2017-08-24","11","12","750"
"2017-08-24","12","13","758"
"2017-08-24","13","14","810"
"2017-08-24","14","15","743"
"2017-08-24","15","16","783"
"2017-08-24","16","17","803"
"2017-08-24","17","18","734"
"2017-08-24","18","19","852"
"2017-08-24","19","20","1054"
"2017-08-24","20","21","1069"
"2017-08-24","21","22","870"
"2017-08-24","22","23","403"
"2017-08-24","23","24","249"
"2017-08-25","0","1","232"
"2017-08-25","1","2","223"
"2017-08-25","2","3","227"
"2017-08-25","3","4","229"
"2017-08-25","4","5","230"
"2017-08-25","5","6","240"
"2017-08-25","6","7","236"
"2017-08-25","7","8","280"
"2017-08-25","8","9","305"
"2017-08-25","9","10","440"
"2017-08-25","10","11","546"
"2017-08-25","11","12","748"
"2017-08-25","12","13","696"
"2017-08-25","13","14","1211"
"2017-08-25","14","15","1430"
"2017-08-25","15","16","1422"
"2017-08-25","16","17","1359"
"2017-08-25","17","18","1324"
"2017-08-25","18","19","1277"
"2017-08-25","19","20","1615"
"2017-08-25","20","21","1947"
"2017-08-25","21","22","1185"
"2017-08-25","22","23","513"
"2017-08-25","23","24","178"
"2017-08-26","0","1","125"
"2017-08-26","1","2","97"
"2017-08-26","2","3","89"
"2017-08-26","3","4","82"
"2017-08-26","4","5","78"
"2017-08-26","5","6","80"
"2017-08-26","6","7","75"
"2017-08-26","7","8","89"
"2017-08-26","8","9","164"
"2017-08-26","9","10","1063"
"2017-08-26","10","11","1352"
